Message,Label
Win free money now click here,spam
Congratulations you won a prize,spam
Free entry in contest win cash,spam
Click here to claim your reward,spam
You have been selected for prize,spam
Limited offer buy now discount,spam
Get rich quick easy money,spam
Earn money from home today,spam
Special offer just for you free,spam
Win lottery claim prize now,spam
Cheap loans apply now fast cash,spam
You won million dollars claim now,spam
Free gift card click to claim,spam
Make money fast work from home,spam
Exclusive deal only for you today,spam
Hey how are you doing today,ham
Can we meet tomorrow for lunch,ham
Please send me the report today,ham
Are you coming to the meeting,ham
Hope you have a good weekend,ham
Let me know if you need help,ham
See you at the office tomorrow,ham
Call me when you get this message,ham
Thanks for your help yesterday,ham
I will be late to the meeting,ham
Did you finish the assignment yet,ham
Happy birthday hope you have fun,ham
Can you please review my work,ham
Looking forward to seeing you soon,ham
What time does the class start,ham
I enjoyed our conversation today,ham
Please confirm your attendance tomorrow,ham
The project deadline is next week,ham
Let us catch up over coffee soon,ham
I sent you the files this morning,ham
